Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
0,0,600.0,8330.0,0.0
0,0,200.0,0.0,0.0
0,0,36.0,25000.0,0.0
0,0,13.0,72475.0,0.0
0,0,0.0,200.0,0.0
0,0,300000.0,86400.0,0.0
0,0,17.0,0.0,0.0
0,0,0.0,25000.0,0.0
0,0,300.0,0.0,0.0
0,0,0.0,100.0,0.0
0,0,172.0,46000.0,0.0
0,0,3.0,500.0,0.0
0,0,0.0,2000.0,0.0
0,0,10.0,0.0,0.0
0,0,30.0,0.0,0.0
24.185,102.543,10000.0,0.0,7.0
0,0,107.0,0.0,0.0
0,0,120.0,0.0,0.0
6.375,-77.438,0.0,400.0,7.0
0,0,0.0,50.0,0.0
0,0,307.0,138800.0,0.0
0,0,100.0,0.0,0.0
0,0,23.0,6000.0,0.0
0,0,1.0,24000.0,0.0
0,0,20.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
-4.026,-80.542,29.0,4000.0,7.0
0,0,20.0,500.0,0.0
0,0,0.0,20.0,0.0
0,0,500.0,0.0,0.0
0,0,42.0,0.0,0.0
0,0,72.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,300.0,85000.0,0.0
0,0,82.0,0.0,0.0
21.7,73,26.0,0.0,5.0
-32.601,-71.076,85.0,236400.0,8.0
0,0,100.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,27.0,20000.0,0.0
0,0,3.0,119219.0,0.0
0,0,0.0,0.0,0.0
0,0,163.0,0.0,0.0
0,0,130.0,0.0,0.0
0,0,109.0,5200.0,0.0
0,0,0.0,0.0,110.0
0,0,31.0,0.0,0.0
0,0,0.0,2500.0,0.0
0,0,0.0,1500.0,0.0
0,0,200.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,51.0,0.0,0.0
0,0,20.0,0.0,0.0
0,0,0.0,50.0,0.0
0,0,400.0,100000.0,0.0
0,0,0.0,55000.0,0.0
0,0,0.0,100.0,0.0
0,0,0.0,200.0,0.0
0,0,115.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,9658.0,30000.0,0.0
0,0,60.0,0.0,0.0
0,0,150.0,0.0,0.0
0,0,100.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,200.0,0.0,0.0
0,0,50.0,0.0,0.0
0,0,0.0,50.0,0.0
0,0,70.0,0.0,0.0
0,0,54.0,420000.0,0.0
0,0,0.0,20000.0,0.0
0,0,3.0,22500.0,0.0
0,0,0.0,0.0,0.0
0,0,100.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,138.0,0.0,0.0
0,0,0.0,7000.0,0.0
0,0,78.0,959.0,0.0
0,0,0.0,70000.0,0.0
0,0,100.0,0.0,0.0
0,0,80.0,0.0,0.0
0,0,100000.0,76000.0,0.0
0,0,60.0,0.0,0.0
0,0,12.0,71000.0,0.0
0,0,1000.0,0.0,0.0
0,0,200.0,0.0,0.0
0,0,427.0,0.0,0.0
0,0,700.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,20.0,16000.0,0.0
0,0,0.0,0.0,0.0
0,0,9.0,0.0,0.0
0,0,16.0,0.0,0.0
0,0,200.0,0.0,0.0
10.679,-84.759,21.0,200.0,7.0
0,0,0.0,0.0,0.0
0,0,21.0,10000.0,770.0
0,0,25.0,0.0,0.0
0,0,0.0,0.0,15000.0
0,0,500.0,400000.0,0.0
0,0,19.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,59.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,5.0,2500.0,0.0
0,0,1.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,2800.0,0.0,0.0
0,0,1650.0,0.0,0.0
0,0,115.0,0.0,0.0
0,0,146.0,0.0,0.0
0,0,100.0,0.0,0.0
0,0,65.0,800000.0,0.0
0,0,11.0,296717.0,0.0
0,0,0.0,0.0,45000.0
0,0,14.0,5972.0,0.0
0,0,2500.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,28700.0,579200.0,0.0
0,0,300.0,0.0,0.0
0,0,0.0,4000.0,0.0
0,0,31.0,10500.0,0.0
0,0,91.0,0.0,0.0
0,0,30.0,0.0,0.0
0,0,1500.0,0.0,0.0
0,0,205.0,121000.0,0.0
0,0,0.0,14500.0,0.0
0,0,0.0,75000.0,0.0
0,0,32.0,10000.0,0.0
28.4,104.1,20000.0,0.0,7.0
0,0,300.0,0.0,0.0
0,0,90.0,0.0,0.0
0,0,14.0,0.0,0.0
0,0,0.0,22000.0,0.0
0,0,11.0,30000.0,0.0
0,0,1.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,8000.0,540000.0,0.0
0,0,0.0,0.0,0.0
0,0,10.0,0.0,0.0
0,0,20.0,0.0,0.0
0,0,0.0,0.0,20.0
0,0,20000.0,0.0,0.0
0,0,20.0,0.0,0.0
0,0,0.0,63861.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,54684.0,0.0
0,0,15.0,0.0,0.0
0,0,70.0,600000.0,0.0
0,0,56.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,118.0,254900.0,0.0
0,0,14.0,0.0,0.0
0,0,0.0,2500.0,0.0
0,0,13.0,0.0,0.0
40.641,122.58,2000.0,0.0,7.0
0,0,2.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,15.0,0.0,0.0
0,0,0.0,1000.0,0.0
0,0,0.0,4700.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,3.0,0.0,0.0
0,0,0.0,0.0,0.0
32.455,78.43,47.0,0.0,7.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
36.61,67.79,50.0,0.0,6.0
0,0,51.0,0.0,0.0
0,0,0.0,13037.0,0.0
0,0,0.0,7279.0,0.0
0,0,0.0,4237.0,0.0
0,0,0.0,8257.0,0.0
0,0,0.0,36177.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,38024.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,46.0,0.0,0.0
0,0,1.0,201.0,0.0
0,0,168.0,0.0,0.0
0,0,0.0,20000.0,0.0
0,0,0.0,0.0,0.0
39.57,117.978,242000.0,5600000.0,8.0
30.37 N,104.06 E,0.0,0.0,0.0
0,0,13.0,0.0,0.0
0,0,47.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,0.0,0.0
0,0,82.0,1300000.0,0.0
0,0,0.0,0.0,0.0
0.782,79.804,10.0,4000.0,7.0
0.14 S,78.30 W,10.0,20000.0,0.0
-0.677,-78.436,1.0,0.0,0.0
0,0,60.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
15.324,-89.101,23000.0,1000000.0,8.0
0,0,9.0,120000.0,0.0
0,0,5.0,0.0,0.0
0,0,3.0,0.0,0.0
0,0,30.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,20.0,0.0,0.0
-4.603,140.091,420.0,25000.0,7.0
-8.17,114.888,573.0,195000.0,7.0
-4.517,139.918,133.0,0.0,7.0
0,0,40.0,0.0,0.0
0,0,163.0,0.0,0.0
0,0,25.0,0.0,0.0
0,0,40.0,0.0,0.0
0,0,95.0,260000.0,0.0
0,0,87.0,3378.0,0.0
0,0,18.0,0.0,0.0
